Queries:
Query:
Country of Operator/Owner	Current Official Name of Satellite	
Multinational	Eutelsat 113 West A	
Multinational	Eutelsat 117 West A	
Multinational	Eutelsat 117 West B	
Mexico	Mexsat-3	
Mexico	Mexsat-3	
Mexico	Painani-1	
Total Rows: 6
Query:
Current Official Name of Satellite	Class of Orbit	Launch Mass (kg.)	
Galileo FOC FM9	MEO	723	
Galileo IOV-1 FM2	MEO	700	
Galileo IOV-1 PFM	MEO	700	
Galileo IOV-2 FM3	MEO	700	
Galileo IOV-2 FM4	MEO	700	
Gaofen 1	LEO	"1,000"	
Gaofen 10	LEO	"1,000"	
Gaofen 1-02	LEO	805	
Gaofen 1-03	LEO	805	
Gaofen 1-04	LEO	805	
Gaofen 1-05	LEO	805	
Gaofen 1-06	LEO	"1,064"	
Gaofen 11	Elliptical	"1,000"	
Gaofen 11-02	Elliptical	"1,000"	
Gaofen 11-03	Elliptical	"3,000"	
Gaofen 12	LEO	"1,000"	
Gaofen 12-02	LEO	"3,000"	
Gaofen 13	GEO	"1,000"	
Gaofen 14	LEO	"1,000"	
Gaofen 2	LEO	"1,000"	
Gaofen 3	LEO	"1,000"	
Gaofen 3-02	LEO	"2,500"	
Gaofen 3-03	LEO	"2,500"	
Gaofen 4	GEO	"4,600"	
Gaofen 5-02	LEO	"4,200"	
Gaofen 7	LEO	9	
Gaofen 8	LEO	"1,000"	
Gaofen 9	LEO	"1,000"	
Gaofen 9-02	LEO	"1,000"	
Gaofen 9-03	LEO	"1,000"	
Gaofen 9-04	LEO	"1,000"	
Gaofen 9-05	LEO	"1,000"	
Gaofen Multi-Mode 1	LEO		
Cosmos 2513	GEO	"5,000"	
GATOSS	LEO	5	
GCOM-C	LEO	"2,200"	
GEARRS-3	LEO	4	
GEARRSAT-2	LEO	10	
GECAM-A	LEO	150	
GECAM-B	LEO	150	
Genesis-1	LEO	"1,360"	
Genesis-2	LEO	"1,360"	
Cosmos 2517	LEO	900	
Cosmos 2540	LEO	900	
GeoEye-1	LEO	"1,955"	
GEO-Kompsat-2A	GEO	"3,507"	
GEO-Kompsat-2B	GEO	"3,379"	
Geomagnetic Tail Laboratory (Geotail)	Elliptical	980	
Ghalib	LEO	3	
GHGSat-C1	LEO	15	
GHGSat-C2	LEO	15	
GHGSat-D	LEO	15	
GCOM-1	LEO	"1,900"	
Globalstar FM37	LEO	450	
Globalstar M065	LEO	450	
Globalstar M066	LEO	450	
Globalstar M067	LEO	450	
Globalstar M069	LEO	450	
Globalstar M070	LEO	450	
Globalstar M071	LEO	450	
Globalstar M072	LEO	450	
Globalstar M073	LEO	700	
Globalstar M074	LEO	700	
Globalstar M075	LEO	700	
Globalstar M076	LEO	700	
Globalstar M077	LEO	700	
Globalstar M078	LEO	700	
Globalstar M079	LEO	700	
Globalstar M080	LEO	700	
Globalstar M081	LEO	700	
Globalstar M082	LEO	700	
Globalstar M083	LEO	700	
Globalstar M084	LEO	700	
Globalstar M085	LEO	700	
Globalstar M086	LEO	700	
Globalstar M088	LEO	700	
Globalstar M089	LEO	700	
Globalstar M090	LEO	700	
Globalstar M091	LEO	700	
Globalstar M092	LEO	700	
Globalstar M093	LEO	700	
Globalstar M094	LEO	700	
Globalstar M095	LEO	700	
Globalstar M096	LEO	700	
Globalstar M097	LEO	700	
Cosmos 2471	MEO	935	
Cosmos 2501	MEO	935	
Cosmos 2547	MEO	"1,415"	
Cosmos 2425	MEO	"1,480"	
Cosmos 2426	MEO	"1,480"	
Cosmos 2432	MEO	"1,480"	
Cosmos 2433	MEO	"1,480"	
Cosmos 2434	MEO	"1,480"	
Cosmos 2436	MEO	"1,480"	
Cosmos 2456	MEO	"1,415"	
Cosmos 2459	MEO	"1,415"	
Cosmos 2460	MEO	"1,415"	
Cosmos 2457	MEO	"1,415"	
Cosmos 2461	MEO	"1,415"	
Cosmos 2464	MEO	"1,415"	
Cosmos 2476	MEO	"1,415"	
Cosmos 2477	MEO	"1,415"	
Cosmos 2475	MEO	"1,415"	
Cosmos 2485	MEO	"1,415"	
Cosmos 2514	MEO	"1,415"	
Cosmos 2522	MEO	"1,415"	
Cosmos 2516	MEO	"1,415"	
Cosmos 2500	MEO	"1,415"	
Cosmos 2527	MEO	"1,415"	
Cosmos 2529	MEO	"1,415"	
Cosmos 2534	MEO	"1,415"	
Cosmos 2544	MEO	"1,415"	
Cosmos 2545	MEO	"1,415"	
GMS-T	LEO	50	
GNOMES-1	LEO	30	
GNOMES-2	LEO	30	
GNOMES-3	LEO	30	
GOES-13	GEO	"3,200"	
GOES-14	GEO	"3,200"	
GOES-15	GEO	"3,175"	
GOES-R	GEO	"5,192"	
GOES-S	GEO	"5,211"	
GOES-T	GEO	"5,209"	
Göktürk 1	LEO	"1,060"	
Göktürk 2	LEO	409	
Golden Bauhinia 1-03	LEO	10	
Golden Bauhinia 5	LEO	10	
GomX-4A	LEO	8	
GomX-4B	LEO	8	
Gonets M-11	LEO	280	
Gonets M-12	LEO	280	
Gonets M-13	LEO	280	
Gonets M-14	LEO	270	
Gonets M-16	LEO	270	
Gonets M-17	LEO	270	
Gonets M-18	LEO	280	
Gonets M-19	LEO	280	
Gonets M-20	LEO	280	
Gonets-M-24	LEO	280	
Gonets M-25	LEO	280	
Gonets M-26	LEO	280	
Gonets M-27	LEO	280	
Gonets M-28	LEO	280	
Gonets M-29	LEO	280	
Gonets M-30	LEO	280	
Gonets M-31	LEO	280	
Gonets M-32	LEO	280	
GOSAT-2	LEO	"1,800"	
Gossamer Piccolomini	LEO	1	
GovSat-1	GEO	"4,230"	
GPM Core Observatory	LEO	"3,850"	
Grace Follow-on-1	LEO	600	
Grace Follow-on-2	LEO	600	
Ibuki	LEO	"1,750"	
GRUS-1A	LEO	100	
GRUS-1B	LEO	100	
GRUS-1C	LEO	100	
GRUS-1D	LEO	100	
GRUS-1E	LEO	100	
GSAT-10	GEO	"3,400"	
GSAT-11	GEO	"5,854"	
GSAT-12	GEO	"1,410"	
GSAT-14	GEO	"1,982"	
GSAT-15	GEO	"3,164"	
GSAT-16	GEO	"3,181"	
GSAT-17	GEO	"3,477"	
GSAT-18	GEO	"3,404"	
GSAT-19E	GEO	"3,136"	
GSAT-29	GEO	"3,400"	
GSAT-30	GEO	"3,357"	
GSAT-31	GEO	"2,536"	
GSAT-6	GEO	"2,110"	
GSAT-7	GEO	"2,650"	
GSAT-7A	GEO	"2,250"	
GSAT-8	GEO	"3,093"	
USA 254	GEO	500	
USA 270	GEO	500	
USA 271	GEO	500	
USA 324	GEO	500	
USA 325	GEO	500	
GuarantiSat-1	LEO	1	
Gunsmoke-J1     	LEO	5	
Gunsmoke-J2	LEO	5	
Gunsmoke-J4	LEO	4	
Hainan-1-01	LEO	55	
Hainan-1-02	LEO	65	
Haisi-2	LEO		
Haiyang 1C	LEO	442	
Haiyang 1D	LEO	442	
Haiyang 2A	LEO	"1,500"	
Haiyang 2B	LEO	"1,500"	
Haiyang 2C	LEO	"1,500"	
Haiyang 2D	LEO	"1,500"	
Halo-NET Free Flyer	LEO	4	
Hangsheng 1	LEO	37	
Harbinger	LEO	150	
Hawk-2A	LEO	15	
Hawk-2B	LEO	15	
Hawk-2C	LEO	15	
Hawk-3A	LEO	15	
Hawk-3B	LEO	15	
Hawk-3C	LEO	15	
Hawk-4A	LEO	15	
Hawk-4B	LEO	15	
Hawk-4C	LEO	15	
Hawk-A	LEO	15	
Hawk-B	LEO	15	
Hawk-C	LEO	15	
HEAD-1	LEO	45	
HEAD-2A	LEO	45	
HEAD-2B	LEO	45	
HEAD-2E	LEO	45	
HEAD-2F	LEO	45	
HEAD-4	LEO	45	
HEAD-5	LEO	45	
Helios 2A	LEO	"4,200"	
Helios 2B	LEO	"4,200"	
HellasSat-2	GEO	"3,300"	
HellasSat-3	GEO	"5,780"	
Hellas-Sat 4	GEO	"6,495"	
RHESSI	LEO	293	
Hibari	LEO	55	
Hiber-1	LEO	4	
Hiber-2	LEO	7	
Hiber-3	LEO	4	
Hiber-4	LEO	3	
Himawari 8	GEO	"3,500"	
Himawari 9	GEO	"3,500"	
Hinode	LEO	700	
Hisaki	Elliptical	348	
Hisea-1	LEO	180	
Hispasat 1D	GEO	"3,288"	
Hispasat 1E	GEO	"5,320"	
Hispasat 30W-6	GEO	"6,100"	
Hispasat 36W-1	GEO	"3,220"	
HJ-1A	LEO	470	
HJ-1B	LEO	470	
HJ-1C	LEO	890	
HJ-2A	LEO		
HJ-2B	LEO		
Hodoyoshi-3	LEO	60	
Hodoyoshi-4	LEO	60	
Hongyan-1	LEO		
Hongyun-1	LEO		
Horizons 2	GEO	"2,300"	
Horizons 3e	GEO	"6,500"	
Horyu-2	LEO	7	
HSAT-1	LEO	4	
Huangpu-1	LEO	50	
Hubble Space Telescope	LEO	"11,110"	
Huia'an	LEO	3	
HXMT	LEO	"2,500"	
HYLAS 1	GEO	"2,242"	
HYLAS 2	GEO	"3,311"	
HYLAS 4	GEO	"4,050"	
HySIS	LEO	380	
Icesat-2	LEO	"1,515"	
ICEYE-X1	LEO	80	
ICEYE-X10 	LEO	80	
ICEYE-X11	LEO	80	
ICEYE-X12	LEO	80	
ICEYE-X13	LEO	80	
ICEYE-X14	LEO	80	
ICEYE-X15	LEO	80	
ICEYE-X16	LEO	80	
ICEYE-X2	LEO	80	
ICEYE-X4	LEO	80	
ICEYE-X5	LEO	80	
ICEYE-X6	LEO	80	
ICEYE-X7	LEO	80	
ICEYE-X8	LEO	80	
ICEYE-X9	LEO	80	
ICON	LEO	288	
IGS Optical 5	LEO	"1,600"	
IGS Optical 6	LEO	"1,600"	
IGS Optical 7	LEO	"1,600"	
IGS Radar 5	LEO	"1,600"	
IGS Radar 6	LEO	"1,600"	
IGS-5A	LEO	"1,600"	
IGS-6A	LEO	"1,600"	
IGS-7A	LEO	"1,600"	
IGS-8A	LEO	"1,600"	
IGS-8B	LEO	"1,600"	
IGS-9A	LEO	"1,600"	
USA 184	Elliptical	"4,000"	
USA 200	Elliptical	"4,200"	
USA 259	Elliptical	"4,200"	
USA 278	Elliptical	"8,000"	
INMARSAT 3 F3	GEO	"2,074"	
INMARSAT 3 F5	GEO	"2,000"	
INMARSAT 4 F1	GEO	"5,959"	
INMARSAT 4 F2	GEO	"5,458"	
INMARSAT 4 F3	GEO	"5,960"	
INMARSAT 4-A F4	GEO	"6,650"	
INMARSAT 5 F1	GEO	"6,070"	
INMARSAT 5 F2	GEO	"6,105"	
INMARSAT 5 F3	GEO	"6,100"	
INMARSAT 5 F4	GEO	"6,086"	
INMARSAT 5 F5	GEO	"4,007"	
INMARSAT 6 F1	GEO	"5,470"	
INNOSat-2	LEO	4	
INS-1A	LEO	8	
INS-1B	LEO	8	
INS-1C	LEO	5	
INS-2TD	LEO	18	
INSAT 3D	GEO	"2,090"	
INSAT 3DR	GEO	"2,200"	
Inspire-Sat-1	LEO	8	
INTEGRAL	Elliptical	"4,000"	
Intelsat 10	GEO	"3,739"	
Intelsat 10-02	GEO	"5,576"	
Intelsat 11	GEO	"2,491"	
Intelsat 12	GEO	"4,167"	
Intelsat 14	GEO	"5,613"	
Intelsat 15	GEO	"2,550"	
Intelsat 16	GEO	"2,450"	
Intelsat 17	GEO	"5,540"	
Intelsat 18	GEO	"3,200"	
Intelsat 19	GEO	"5,600"	
Intelsat 1R	GEO	"4,793"	
Intelsat 20	GEO	"6,094"	
Intelsat 21	GEO	"5,984"	
Intelsat 22	GEO	"6,199"	
Intelsat 23	GEO	"3,200"	
Intelsat 25	GEO	"4,100"	
Intelsat 30/DLA 1	GEO	"6,220"	
Intelsat 31/DLA 2	GEO	"6,450"	
Intelsat 33	GEO	"6,600"	
Intelsat 34	GEO	"3,300"	
Intelsat 35E	GEO	"6,761"	
Intelsat 36	GEO	"3,250"	
Intelsat 37E	GEO	"6,438"	
Intelsat 39	GEO	"6,600"	
Intelsat 5	GEO	"2,730"	
Intelsat 9	GEO	"3,659"	
Intelsat 901	GEO	"4,723"	
Intelsat 902	GEO	"4,723"	
Intelsat 904	GEO	"4,680"	
Intelsat 905	GEO	"4,723"	
Intelsat 906	GEO	"4,723"	
Intelsat New Dawn	GEO	"3,000"	
International Space Station	LEO		
Interstellar Boundary Explorer	Elliptical	462	
ION SVC Lucas	LEO	150	
Iridium Next 102	LEO	860	
Iridium Next 103	LEO	860	
Iridium Next 104	LEO	860	
Iridium Next 105	LEO	860	
Iridium Next 106	LEO	860	
Iridium Next 107	LEO	860	
Iridium Next 108	LEO	860	
Iridium Next 109	LEO	860	
Iridium Next 110	LEO	860	
Iridium Next 111	LEO	860	
Iridium Next 112	LEO	860	
Iridium Next 113	LEO	860	
Iridium Next 114	LEO	860	
Iridium Next 115	LEO	860	
Iridium Next 116	LEO	860	
Iridium Next 117	LEO	860	
Iridium Next 118	LEO	860	
Iridium Next 119	LEO	860	
Iridium Next 120	LEO	860	
Iridium Next 121	LEO	860	
Iridium Next 122	LEO	860	
Iridium Next 123	LEO	860	
Iridium Next 124	LEO	860	
Iridium Next 125	LEO	860	
Iridium Next 126	LEO	860	
Iridium Next 127	LEO	860	
Iridium Next 128	LEO	860	
Iridium Next 129	LEO	860	
Iridium Next 130	LEO	860	
Iridium Next 131	LEO	860	
Iridium Next 132	LEO	860	
Iridium Next 133	LEO	860	
Iridium Next 134	LEO	860	
Iridium Next 135	LEO	860	
Iridium Next 136	LEO	860	
Iridium Next 137	LEO	860	
Iridium Next 138	LEO	860	
Iridium Next 139	LEO	860	
Iridium Next 140	LEO	860	
Iridium Next 141	LEO	860	
Iridium  Next 142	LEO	860	
Iridium Next 143	LEO	860	
Iridium Next 144	LEO	860	
Iridium Next 145	LEO	860	
Iridium Next 146	LEO	860	
Iridium Next 147	LEO	860	
Iriidium Next 148	LEO	860	
Iridium Next 149	LEO	860	
Iridium Next 150	LEO	860	
Iridium Next 151	LEO	860	
Iridium Next 152	LEO	860	
Iridium Next 153	LEO	860	
Iridium Next 154	LEO	860	
Iridium Next 155	LEO	860	
Iridium Next 156	LEO	860	
Iridium Next 157	LEO	860	
Iridium Next 158	LEO	860	
Iridum Next 159	LEO	860	
Iridium Next 160	LEO	860	
Iridium Next 161	LEO	860	
Iridium Next 162	LEO	860	
Iridium Next 163	LEO	860	
Iridium Next 164	LEO	860	
Iridium Next 165	LEO	860	
Iridium Next 166	LEO	860	
Iridium Next 167	LEO	860	
Iridium Next 168	LEO	860	
Iridium Next 169	LEO	860	
Iridium Next 170	LEO	860	
Iridium Next 171	LEO	860	
Iridium Next 172	LEO	860	
Iridium Next 173	LEO	860	
Iridium Next 175	LEO	860	
Iridium Next 176	LEO	860	
Iridium Next 180	LEO	860	
IRIS	LEO	236	
IRNSS-1A	GEO	"1,425"	
IRNSS-1B	GEO	"1,432"	
IRNSS-1C	GEO	"1,425"	
IRNSS-1D	GEO	"1,425"	
IRNSS-1E	GEO	"1,425"	
IRNSS-1F	GEO	"1,425"	
IRNSS-1G	GEO	"1,425"	
IRNSS-1I	GEO	"1,425"	
IRS-P6	LEO	"1,360"	
ISARA	LEO	5	
iSat	LEO	4	
ISX	LEO	4	
ITU-pSAT1	LEO	1	
IXPE	LEO	330	
JAISAT-1	LEO	1	
Jason 3	LEO	553	
JCSat 10	GEO	"4,400"	
JCSat 13	GEO	"4,500"	
JCSat 14	GEO	"4,500"	
JCSat 15	GEO	"3,400"	
JCSat 16	GEO	"4,500"	
JCSat 17	GEO	"5,857"	
JCSat18/Kacific 1	GEO	"6,956"	
JCSat 2A	GEO	"2,500"	
JCSat 9	GEO	"4,400"	
JCSat RA	GEO	"4,000"	
Jiading-1	LEO	45	
Jilin-1	LEO	42	
Jilin-1	LEO	95	
Jilin-1	LEO	95	
Jilin-1 Gaofen 02A	LEO	95	
Jilin-1 Gaofen 02B	LEO	95	
Jilin-1 Gaofen 02D 	LEO	230	
Jilin 1 Gaofen 02F	LEO	230	
Jilin-1 Gaofen 03B-01 	LEO	40	
Jilin-1 Gaofen 03B-02 	LEO	40	
Jilin-1 Gaofen 03B-03 	LEO	40	
Jilin-1 Gaofen 03B-04 	LEO	40	
Jilin-1 Gaofen 03B-05 	LEO	40	
Jilin-1 Gaofen 03B-06 	LEO	40	
Jilin-1 Gaofen 03C-01 	LEO	40	
Jilin-1 Gaofen 03C-02 	LEO	40	
Jilin-1 Gaofen 03C-03 	LEO	40	
Jilin-1 GaoFen 03D 10	LEO	43	
Jilin-1 GaoFen 03D 11	LEO	43	
Jilin-1 GaoFen 03D 12	LEO	43	
Jilin-1 GaoFen 03D 13	LEO	43	
Jilin-1 GaoFen 03D 14	LEO	43	
Jilin-1 GaoFen 03D 15	LEO	43	
Jilin-1 GaoFen 03D 16 	LEO	43	
Jilin-1 GaoFen 03D 17	LEO	43	
Jilin-1 GaoFen 03D 18	LEO	43	
Jilin-1 Gaofen 03D-01	LEO	40	
Jilin-1 Gaofen 03D-02	LEO	40	
Jilin-1 Gaofen 03D-03	LEO	40	
Jilin-1 GaoFen 03D-04	LEO	43	
Jilin-1 GaoFen 03D-05	LEO	43	
Jilin-1 GaoFen 03D-06	LEO	43	
Jilin-1 GaoFen 03D-07	LEO	43	
Jilin-1 GaoFen 04A	LEO	43	
Jilin 1 Kuanfu 01B	LEO	95	
Jilin-1 Kuanfu-1	LEO	95	
Jilin-1 Mofang 02A01	LEO	32	
Jilin-1	LEO	400	
Jilin-1-10	LEO	95	
Jilin-1	LEO	400	
Jilin-1-4	LEO	95	
Jilin-1-5	LEO	95	
Jilin-1-6	LEO	95	
Jilin-1-7	LEO	95	
Jilin-1-8	LEO	95	
Jilin-1-9	LEO	95	
Jin Zijing 1-01	LEO	40	
Jin Zijing 1-02	LEO	40	
Jin Zijing 2	LEO	10	
Jingshi-1	LEO	16	
JYISat	LEO	2	
Kaituo-1A	LEO	130	
Kanopus-B	LEO	400	
Kanopus-V-IK-2	LEO	500	
Kanopus-V-IK-3	LEO	500	
Kanopus-V-IK-4	LEO	500	
Kanopus-V-IK-5	LEO	500	
Kanopus-V-IK-6	LEO	500	
KazEOSat-1	LEO	830	
KazEOSat-2	LEO	185	
KazSat-2	GEO	"1,300"	
KazSat-3	GEO		
KazSTSAT	LEO	100	
Kent Ridge 1	LEO	78	
Kepler-10 BABY YODA	LEO	9	
Kepler-11 DANEEL	LEO	9	
Kepler-12 BOBA	LEO	9	
Kepler-13 LUCKY	LEO	9	
Kepler-14 STELLA	LEO	9	
Kepler-15 SUDORMRF	LEO	9	
Kepler-16 ASTRAEUS	LEO	9	
Kepler-17 KARINA	LEO	9	
Kepler-18 BLIP-A	LEO	9	
Kepler-19	LEO	9	
Kepler-2 CASE	LEO	4	
Kepler-3 TARS	LEO	9	
Kepler-4 ANTILLES	LEO	9	
Kepler-5 AMIDALA	LEO	9	
Kepler-6 ROCINANTE	LEO	9	
Kepler-7 C3PO	LEO	9	
Kepler-8 AMAROK	LEO	9	
Kepler-9 ARTEMIS	LEO	9	
KestrelEye IIM	LEO	50	
USA 186	LEO	"18,000"	
USA 224	LEO	"18,000"	
USA 245	LEO	"18,000"	
USA 290	LEO	"18,000"	
USA 314	LEO	"20,000"	
KhalifaSat	LEO	330	
KIPP-1	LEO	10	
Kirameki 2	GEO		
KJSY-1	LEO	1	
KKS-1	LEO	3	
KL-Alpha-A 	LEO		
KL-Alpha-B	LEO		
KL-Beta-A	LEO	100	
KL-Beta-B	LEO	100	
KMSL (Korea Microgravity Science Laboratory)	LEO	4	
Kompsat-2	LEO	800	
Kompsat-3	LEO	980	
Kompsat-3A	LEO	980	
Kompsat-5	LEO	"1,400"	
Cosmos 2487	LEO	"1,150"	
Koreasat 5	GEO	"4,450"	
Koreasat 5A	GEO	"3,700"	
Koreasat 6	GEO	"2,850"	
Koreasat 7	GEO	"3,680"	
KOSEN-1	LEO	3	
KSF1-A	LEO	10	
KSF1-B	LEO	10	
KSF2-A	LEO	10	
KSF2-B	LEO	10	
KSF2-C	LEO	10	
KSF2-D	LEO	10	
KSFI-C	LEO	10	
KSFI-D	LEO	10	
KSM-1A	LEO		
KSM-1B	LEO		
KSM-1C	LEO		
KSM-1D	LEO		
KSU Cubesat	LEO	2	
KX-09	LEO		
USA 152	LEO	"14,500"	
USA 182	LEO	"14,500"	
LacunaSat-2B	LEO	4	
LacunaSat-3	LEO	5	
Ladybird 1	LEO	100	
Ladybird 2	LEO	8	
Ladybird 3	LEO	8	
Ladybird 4	LEO	8	
Ladybird 5	LEO	4	
Ladybird 6	LEO	4	
Ladybird 7	LEO	4	
Landmapper BC3.v2	LEO	11	
Landmapper BC4	LEO	11	
Landsat 7	LEO	"2,744"	
Landsat 8	LEO	"2,780"	
Landsat 9	LEO	"2,710"	
LaoSat-1	GEO	"3,800"	
LAPAN A2	LEO	68	
LAPAN A3	LEO	115	
LAPAN-Tubsat	LEO	60	
LatinSat A	LEO		
LatinSat B	LEO		
LDPE-1	GEO	500	
LEDSat	LEO	10	
Lemur 1	LEO	10	
Lemur 2 AC-Cubed 	LEO	10	
Lemur 2F80	LEO	10	
Lemur 2FM106	LEO	10	
Lemur 2FM162	LEO	10	
Lemur 2F47	LEO	10	
Lemur 2F31	LEO	10	
Lemur-2 AnnaBanana	LEO	10	
Lemur 2F16	LEO	10	
Lemur 2F43	LEO	10	
Lemur 2FM98	LEO	10	
Lemur 2F52	LEO	10	
Lemur 2F71	LEO	10	
Lemur-2 CarlSantaMari 	LEO	10	
Lemur 2F130	LEO	10	
Lemur 2F83	LEO	10	
Lemur 2F4	LEO	10	
Lemur 2F90	LEO	10	
Lemur 2F95	LEO	10	
Lemur 2F69	LEO	10	
Lemur FM123	LEO	10	
Lemur 2F49	LEO	10	
Lemur	LEO	10	
Lemur-2 Djirang	LEO	10	
Lemur FM116	LEO	10	
Lemur 2F87	LEO	10	
Lemur 2F57	LEO	10	
Lemur 2FM105	LEO	10	
Lemur2FM104	LEO	10	
Lemur 2FM99	LEO	10	
Lemur FM114	LEO	10	
Lemur 2F45	LEO	10	
Lemur 2F42	LEO	10	
Lemur 2FM108	LEO	10	
Lemur 2F89	LEO	10	
Lemur 2FM109	LEO	10	
Lemur 2 Jackson	LEO	10	
Lemur 2F131	LEO	10	
Lemur 2F30	LEO	10	
Lemur 2F129	LEO	10	
Lemur 2F3	LEO	10	
Lemur 2F127	LEO	10	
Lemur 2F76	LEO	10	
Lemur 2F22	LEO	10	
Lemur 2F1	LEO	10	
Lemur 2FM97	LEO	10	
Lemur 2 John-Treires 	LEO	10	
Lemur 2FM110	LEO	10	
Lemur 2F74	LEO	10	
Lemur-2 King-Julien	LEO	10	
Lemur 2F86	LEO	10	
Lemur 2F37	LEO	10	
Lemur 2FM107	LEO	10	
Lemur 2F40	LEO	10	
Lemur 2F55	LEO	10	
Lemur 2F36	LEO	10	
Lemur 2F41	LEO	10	
Lemur 2F137	LEO	10	
Lemur 2F73	LEO	10	
Lemur 2F70	LEO	10	
Lemur 2F56	LEO	10	
Lemur 2F38	LEO	10	
Lemur 2 Merima 	LEO	10	
Lemur 2F27	LEO	10	
Lemur-2 Miriwari	LEO	10	
Lemur 2F44	LEO	10	
Lemur 2FM101	LEO	10	
Lemur 2F132	LEO	10	
Lemur 2F94	LEO	10	
Lemur 2F133	LEO	10	
Lemur FM122	LEO	10	
Lemur 2F28	LEO	10	
Lemur 2F134	LEO	10	
Lemur 2F84	LEO	10	
Lemur FM118	LEO	10	
Lemur 2 Ozarak	LEO	10	
Lemur 2FM108	LEO	10	
Lemur 2F2	LEO	10	
Lemur 2F48	LEO	10	
Lemur 2F68	LEO	10	
Lemur-2 Ramonamae	LEO	10	
Lemur 2F25	LEO	10	
Lemur 2F88	LEO	10	
Lemur 2F33	LEO	10	
Lemur 2F54	LEO	10	
Lemur-2 Rohovithsa	LEO	10	
Lemur 2F53	LEO	10	
Lemur 2F135	LEO	10	
Lemur 2F39	LEO	10	
Lemur 2F136	LEO	10	
Lemur 2F93	LEO	10	
Lemur 2F24	LEO	10	
Lemur 2FM115	LEO	10	
Lemur 2F34	LEO	10	
Lemur 2FM121	LEO	10	
Lemur 2F26	LEO	10	
Lemur 2F14	LEO	10	
Lemur 2F161	LEO	10	
Lemur 2F23	LEO	10	
Lemur 2F32	LEO	10	
Lemur 2FM117	LEO	10	
Lemur 2FM120	LEO	10	
Lemur 2F29	LEO	10	
Lemur 2F72	LEO	10	
Lemur 2F75	LEO	10	
Lemur 2FM111	LEO	10	
Lemur 2F92	LEO	10	
Lemur 2F78	LEO	10	
Lemur 2F77	LEO	10	
Lemur FM119	LEO	10	
Lemur 2FM100	LEO	10	
Lemur 2F85	LEO	10	
Lemur 2F81	LEO	10	
Lemur 2F128	LEO	10	
Lemur 2FM102	LEO	10	
Lemur 2F17	LEO	10	
Lemur 2F15	LEO	10	
Lemur 2F35	LEO	10	
Lemur 2FM103	LEO	10	
Lemur 2F50	LEO	10	
Lemur 2F79	LEO	10	
Lemur 2F46	LEO	10	
Lemur 2F91	LEO	10	
Lemur 2F82	LEO	10	
LEO CP9	Elliptical	6	
LEO Vantage 1	LEO	100	
Lightsail-2	LEO	1	
LilacSat-2	LEO	11	
LINCS-1	LEO	16	
LINCS-2	LEO	16	
Ling Qiao	LEO	100	
Lingque 1A	LEO	3	
Lize 1	LEO	20	
LKW-1	LEO		
LKW-2	LEO		
LKW-3	LEO		
LKW-4	LEO		
Long Xi Yan	LEO	50	
Cosmos 2455	LEO	"5,000"	
Cosmos 2524	LEO	"5,000"	
Cosmos 2528	LEO	"5,000"	
Cosmos 2549	LEO	"5,000"	
Cosmos 2554	LEO	"5,000"	
Cosmos 2502	LEO	"5,000"	
LQSat	LEO	55	
LUCAS	GEO		
Luch 5A	GEO	950	
Luch 5B	GEO	"1,282"	
Luch 5V	GEO	"1,148"	
Luch/Olympus	GEO		
Lucky-7	LEO	1	
Ludi Tance 1-01A	LEO	"3,200"	
Ludi Tance 1-01B	LEO	"3,200"	
Lume-1	LEO	2	
Luojia 1	LEO	5	
Lynk-4	LEO	8	
Lynk-5	LEO	80	
Lynk-6	LEO	30	
M3MSat	LEO	85	
MakerSat-1	LEO	2	
Mandrake 2A	LEO	23	
Mandrake 2B	LEO	23	
Maroc Tubsat	LEO	47	
Max Valier	LEO	16	
M-Cubed/E1P-U2	LEO	2	
MDASat-1A	LEO	1	
MDASat-1B	LEO	1	
MDASat-1C	LEO	1	
Measat 3A	GEO	"2,417"	
Measat 3B	GEO	"5,800"	
Megha-Tropiques	LEO	"1,000"	
Merah Putih	GEO	"5,800"	
USA 105	GEO	"8,000"	
USA 118	GEO	"8,000"	
USA 250	GEO	"3,900"	
Meridian-10	Elliptical	"2,000"	
Meridian-3	Elliptical	"2,500"	
Meridian-4	Elliptical	"2,500"	
Meridian-6	Elliptical	"2,500"	
Meridian-7	Elliptical	"2,500"	
Meridian-8	Elliptical	"2,500"	
Meridian-9	Elliptical	"2,500"	
Meshbed	LEO	5	
Meteor-M 2.2	LEO	"2,900"	
Meteor-M N-2	LEO	"2,778"	
Meteosat 10	GEO	"2,000"	
Meteosat 11	GEO	"2,000"	
Meteosat 8	GEO	"2,000"	
Meteosat 9	GEO	"2,000"	
MetOp-A	LEO	"4,193"	
MetOp-B	LEO	"4,085"	
MetOp-C	LEO	"4,084"	
MEV-1	GEO	"2,875"	
MEV-2	GEO	"2,875"	
Mexsat-3	GEO	"2,900"	
Mexsat-3	GEO	"5,325"	
MeznSat	LEO	5	
MicroDragon	LEO	51	
MicroMAS-2A 	LEO	4	
MVL-300	LEO	645	
USA 99	GEO	"4,536"	
USA 157	GEO	"4,536"	
USA 164	GEO	"4,536"	
USA 169	GEO	"4,536"	
MMS-1	Elliptical	"1,360"	
MMS-2	Elliptical	"1,360"	
MMS-3	Elliptical	"1,360"	
MMS-4	Elliptical	"1,360"	
